,Личность подтверждена,Стаж,На сайте,Заказы в работе,Оценка,Количество отзывов,С отличием,Топ-10 вуз,Предмет ЕГЭ,Гуманитарная наука,Естественная наука,Техническая наука,Большой стаж,Статус_Аспирант или ординатор очной формы обучения,Статус_Преподаватель университета или колледжа,Статус_Студент,Статус_Частный преподаватель,Статус_Школьный преподаватель,Формат обучения_Дистанционно,Формат обучения_У репетитора,Формат обучения_У ученика,Предмет_Английский язык,Предмет_Биология,Предмет_География,Предмет_Информатика,Предмет_Испанский язык,Предмет_Логопед,Предмет_Математика,Предмет_Музыка,Предмет_Обществознание,Предмет_Русский язык,Предмет_Физика,Предмет_Химия,Предмет_Экономика,Стаж^2,На сайте^2,Заказы в работе^2,Оценка^2,Количество отзывов^2,Стаж * На сайте,Стаж * Заказы в работе,Стаж * Оценка,Стаж * Количество отзывов,На сайте * Заказы в работе,На сайте * Оценка,На сайте * Количество отзывов,Заказы в работе * Оценка,Заказы в работе * Количество отзывов,Оценка * Количество отзывов,Стаж^2 * На сайте,Стаж^2 * Заказы в работе,Стаж^2 * Оценка,Стаж^2 * Количество отзывов,На сайте^2 * Стаж,На сайте^2 * Заказы в работе,На сайте^2 * Оценка,На сайте^2 * Количество отзывов,Заказы в работе^2 * Стаж,Заказы в работе^2 * На сайте,Заказы в работе^2 * Оценка,Заказы в работе^2 * Количество отзывов,Оценка^2 * Стаж,Оценка^2 * На сайте,Оценка^2 * Заказы в работе,Оценка^2 * Количество отзывов,Количество отзывов^2 * Стаж,Количество отзывов^2 * На сайте,Количество отзывов^2 * Заказы в работе,Количество отзывов^2 * Оценка,Цена
0,0.0,0.09836065573770492,0.8571428571428571,0.47345132743362833,1.0,0.6455696202531646,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01249024199843872,0.7346938775510204,0.22415615944866474,1.0,0.4167601345938151,0.13548387096774195,0.11630434782608695,0.09949216804864443,0.14166666666666666,0.481981981981982,0.8571428571428571,0.6455696202531646,0.47920174841460356,0.34711532345270657,0.6455696202531646,0.015296566077003122,0.020353260869565216,0.01261596558854311,0.024791666666666667,0.11688311688311688,0.481981981981982,0.7346938775510204,0.6455696202531646,0.07729543613286524,0.2323066309552796,0.22687870389540962,0.18663989753487237,0.10274343434406157,0.8571428571428571,0.4850220125653881,0.6455696202531646,0.11468253968253968,0.4167601345938151,0.22408710754541816,0.4167601345938151,2112.5
1,1.0,0.6065573770491803,0.8571428571428571,0.6150442477876106,0.9724999999999999,0.5189873417721519,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.375487900078064,0.7346938775510204,0.3782794267366278,0.9546708333333331,0.2693478609197244,0.7354838709677419,0.8201863354037268,0.5988598195197871,0.6182539682539683,0.6261261261261262,0.8382857142857142,0.5189873417721519,0.6088191035792339,0.36250874626296037,0.5075696202531645,0.4507804370447451,0.7791770186335404,0.37084492886985865,0.5873412698412699,0.634508348794063,0.6261261261261262,0.7185306122448979,0.5189873417721519,0.7081111839820995,0.3920339258177096,0.37445068759961725,0.2532096267866909,0.5922156907867714,0.8198434285714284,0.6026569669033306,0.49640308860759486,0.40235575711766186,0.2693478609197244,0.1881374505921693,0.26342220797949045,1000.0
2,1.0,0.18032786885245902,0.7142857142857143,0.3672566371681416,1.0,0.45569620253164556,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03721051262034868,0.5102040816326531,0.13487743754405201,1.0,0.20765902900176253,0.1935483870967742,0.1546583850931677,0.18226760424264102,0.17142857142857143,0.31156156156156156,0.7142857142857143,0.379746835443038,0.3717172440973093,0.190064245277018,0.45569620253164556,0.037460978147762745,0.04639751552795031,0.03757998602800241,0.05142857142857143,0.1391465677179963,0.25963463463463465,0.5102040816326531,0.31645569620253167,0.07973072026542186,0.11648472797121445,0.13651562504458703,0.07927302692458539,0.1861390791038518,0.7142857142857143,0.3762320284385721,0.45569620253164556,0.09795918367346938,0.1730491908348021,0.08661155480978036,0.20765902900176253,4187.5
3,1.0,0.3442622950819672,0.7142857142857143,0.1902654867256637,1.0,0.3670886075949367,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.12568306010928962,0.5102040816326531,0.036200955438953714,1.0,0.13475404582598943,0.3548387096774194,0.1468944099378882,0.3478184766306342,0.25317460317460316,0.1614114114114114,0.7142857142857143,0.3059071729957806,0.19257640356848554,0.07932065390242352,0.3670886075949367,0.1259105098855359,0.08079192546583851,0.12692490128501463,0.13924603174603176,0.25510204081632654,0.13450950950950952,0.5102040816326531,0.25492264416315047,0.039232668492727905,0.0312643724805887,0.03664064315683574,0.017139638782935732,0.35293036862343224,0.7142857142857143,0.19491538822721205,0.3670886075949367,0.11654069035021417,0.11229503818832452,0.02911770839456053,0.13475404582598943,1650.0
4,1.0,0.06557377049180328,0.5714285714285714,0.11504424778761062,0.97,0.21518987341772153,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.00624512099921936,0.32653061224489793,0.013235178949017152,0.9506,0.04630668162153501,0.06451612903225806,0.020186335403726708,0.06439538310238986,0.03373015873015873,0.07807807807807808,0.5577142857142857,0.14345991561181434,0.11364694923148579,0.028115259843521406,0.2100253164556962,0.005202913631633715,0.0025232919254658385,0.006151598190535756,0.004216269841269841,0.03710575139146568,0.05205205205205205,0.3186938775510204,0.09563994374120956,0.0032599050962540026,0.009144279414549684,0.013074427787693054,0.0036733505323193797,0.06543022138305718,0.5443291428571428,0.11226662191288474,0.20498470886075948,0.009101788863693625,0.03087112108102334,0.00605011920683372,0.04519532126261817,3921.875
5,1.0,0.5901639344262295,0.42857142857142855,0.07079646017699115,1.0,0.12658227848101267,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3559718969555035,0.1836734693877551,0.005012138773592294,1.0,0.01602307322544464,0.3580645161290323,0.09192546583850932,0.596144785212624,0.14682539682539683,0.036036036036036036,0.42857142857142855,0.06329113924050633,0.0716563362115295,0.010177469626614083,0.12658227848101267,0.21368366285119667,0.08503105590062111,0.359484460115767,0.13581349206349205,0.15445269016697588,0.018018018018018018,0.1836734693877551,0.03164556962025317,0.009135450021218317,0.0025971917863809755,0.005073014953028637,0.0008182890152051524,0.603117302902803,0.42857142857142855,0.07252665608454402,0.12658227848101267,0.023305618543713782,0.00801153661272232,0.0012882872945081118,0.01602307322544464,3312.5
6,1.0,0.09836065573770492,0.8571428571428571,0.1592920353982301,1.0,0.1518987341772152,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.01249024199843872,0.7346938775510204,0.025373952541310987,1.0,0.023073225444640282,0.13548387096774195,0.0391304347826087,0.09949216804864443,0.03333333333333333,0.16216216216216217,0.8571428571428571,0.1518987341772152,0.16122675647594137,0.027479167991858025,0.1518987341772152,0.015296566077003122,0.006847826086956521,0.01261596558854311,0.005833333333333334,0.11688311688311688,0.16216216216216217,0.7346938775510204,0.1518987341772152,0.008749662435862815,0.026296566837107377,0.025682138199707473,0.004971105767371301,0.10274343434406157,0.8571428571428571,0.16318497619022404,0.1518987341772152,0.006349206349206349,0.023073225444640282,0.0041740508342062825,0.023073225444640282,6000.0
7,0.0,0.22950819672131148,0.8571428571428571,0.13716814159292035,1.0,0.189873417721519,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.058287795992714025,0.7346938775510204,0.01881509906805545,1.0,0.03605191475725044,0.2903225806451613,0.07220496894409938,0.23193286595903898,0.08928571428571429,0.13963963963963963,0.8571428571428571,0.189873417721519,0.1388341514098384,0.02957827110234718,0.189873417721519,0.07023933402705515,0.027076863354037268,0.05886509819217296,0.033482142857142856,0.2504638218923933,0.13963963963963963,0.7346938775510204,0.189873417721519,0.013902820107248949,0.019499228958688417,0.019043622538517657,0.00460767037272745,0.2361764659597259,0.8571428571428571,0.14052039616380405,0.189873417721519,0.021258503401360544,0.03605191475725044,0.0056161274244962995,0.03605191475725044,5250.0
8,1.0,0.19672131147540983,0.7142857142857143,0.07964601769911504,1.0,0.11392405063291139,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04371584699453552,0.5102040816326531,0.006343488135327747,1.0,0.012978689312610158,0.20967741935483872,0.03633540372670808,0.19882269148144036,0.04642857142857143,0.06756756756756757,0.7142857142857143,0.0949367088607595,0.08061337823797068,0.01030468799694676,0.11392405063291139,0.04396462018730489,0.011809006211180124,0.04414946509101801,0.015089285714285715,0.1507421150278293,0.05630630630630631,0.5102040816326531,0.07911392405063292,0.004062343273793449,0.00547845142439737,0.006420534549926868,0.0009320823313821189,0.20281820805580983,0.7142857142857143,0.08159248809511202,0.11392405063291139,0.0066326530612244895,0.010815574427175132,0.0011739517971205168,0.012978689312610158,4285.714285714285
9,0.0,0.45901639344262296,0.14285714285714285,0.19469026548672566,1.0,0.16455696202531644,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2185792349726776,0.02040816326530612,0.037904299475291725,1.0,0.02707899375100144,0.0935483870967742,0.19813664596273292,0.46370408730222945,0.1496031746031746,0.03303303303303303,0.14285714285714285,0.027426160337552744,0.19705492458170612,0.036384453915145346,0.16455696202531644,0.04375650364203954,0.14364906832298135,0.22073706230487744,0.1084623015873016,0.013450834879406308,0.0055055055055055055,0.02040816326530612,0.004571026722925457,0.054149145480498435,0.006547087628168709,0.038364675582279066,0.008044803880735654,0.4696842712871386,0.14285714285714285,0.19944830423249604,0.16455696202531644,0.030870496346686822,0.004513165625166907,0.0059873152012264496,0.02707899375100144,750.0
