,Личность подтверждена,Стаж,На сайте,Заказы в работе,Оценка,Количество отзывов,Цена,С отличием,Топ-10 вуз,Предмет ЕГЭ,Гуманитарная наука,Естественная наука,Техническая наука,Большой стаж,Статус_Аспирант или ординатор очной формы обучения,Статус_Преподаватель университета или колледжа,Статус_Студент,Статус_Частный преподаватель,Статус_Школьный преподаватель,Формат обучения_Дистанционно,Формат обучения_У репетитора,Формат обучения_У ученика,Предмет_Английский язык,Предмет_Биология,Предмет_География,Предмет_Информатика,Предмет_Испанский язык,Предмет_Логопед,Предмет_Математика,Предмет_Музыка,Предмет_Обществознание,Предмет_Русский язык,Предмет_Физика,Предмет_Химия,Предмет_Экономика,Стаж^2,На сайте^2,Заказы в работе^2,Оценка^2,Количество отзывов^2,Стаж * На сайте,Стаж * Заказы в работе,Стаж * Оценка,Стаж * Количество отзывов,На сайте * Заказы в работе,На сайте * Оценка,На сайте * Количество отзывов,Заказы в работе * Оценка,Заказы в работе * Количество отзывов,Оценка * Количество отзывов,Стаж^2 * На сайте,Стаж^2 * Заказы в работе,Стаж^2 * Оценка,Стаж^2 * Количество отзывов,На сайте^2 * Стаж,На сайте^2 * Заказы в работе,На сайте^2 * Оценка,На сайте^2 * Количество отзывов,Заказы в работе^2 * Стаж,Заказы в работе^2 * На сайте,Заказы в работе^2 * Оценка,Заказы в работе^2 * Количество отзывов,Оценка^2 * Стаж,Оценка^2 * На сайте,Оценка^2 * Заказы в работе,Оценка^2 * Количество отзывов,Количество отзывов^2 * Стаж,Количество отзывов^2 * На сайте,Количество отзывов^2 * Заказы в работе,Количество отзывов^2 * Оценка
0,0.0,7.0,6.0,107.0,5.0,51.0,2112.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,36.0,11449.0,25.0,2601.0,42.0,749.0,35.0,357.0,642.0,30.0,306.0,535.0,5457.0,255.0,294.0,5243.0,245.0,2499.0,252.0,3852.0,180.0,1836.0,80143.0,68694.0,57245.0,583899.0,175.0,150.0,2675.0,1275.0,18207.0,15606.0,278307.0,13005.0
1,1.0,38.0,6.0,139.0,4.89,41.0,1000.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1444.0,36.0,19321.0,23.912099999999995,1681.0,228.0,5282.0,185.82,1558.0,834.0,29.339999999999996,246.0,679.7099999999999,5699.0,200.48999999999998,8664.0,200716.0,7061.16,59204.0,1368.0,5004.0,176.04,1476.0,734198.0,115926.0,94479.68999999999,792161.0,908.6597999999998,143.47259999999997,3323.7818999999995,980.3960999999998,63878.0,10086.0,233659.0,8220.09
2,1.0,12.0,5.0,83.0,5.0,36.0,4187.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,144.0,25.0,6889.0,25.0,1296.0,60.0,996.0,60.0,432.0,415.0,25.0,180.0,415.0,2988.0,180.0,720.0,11952.0,720.0,5184.0,300.0,2075.0,125.0,900.0,82668.0,34445.0,34445.0,248004.0,300.0,125.0,2075.0,900.0,15552.0,6480.0,107568.0,6480.0
3,1.0,22.0,5.0,43.0,5.0,29.0,1650.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,484.0,25.0,1849.0,25.0,841.0,110.0,946.0,110.0,638.0,215.0,25.0,145.0,215.0,1247.0,145.0,2420.0,20812.0,2420.0,14036.0,550.0,1075.0,125.0,725.0,40678.0,9245.0,9245.0,53621.0,550.0,125.0,1075.0,725.0,18502.0,4205.0,36163.0,4205.0
4,1.0,5.0,4.0,26.0,4.88,17.0,3921.875,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,16.0,676.0,23.8144,289.0,20.0,130.0,24.4,85.0,104.0,19.52,68.0,126.88,442.0,82.96,100.0,650.0,122.0,425.0,80.0,416.0,78.08,272.0,3380.0,2704.0,3298.88,11492.0,119.072,95.2576,619.1744,404.84479999999996,1445.0,1156.0,7514.0,1410.32
5,1.0,37.0,3.0,16.0,5.0,10.0,3312.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1369.0,9.0,256.0,25.0,100.0,111.0,592.0,185.0,370.0,48.0,15.0,30.0,80.0,160.0,50.0,4107.0,21904.0,6845.0,13690.0,333.0,144.0,45.0,90.0,9472.0,768.0,1280.0,2560.0,925.0,75.0,400.0,250.0,3700.0,300.0,1600.0,500.0
6,1.0,7.0,6.0,36.0,5.0,12.0,6000.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,36.0,1296.0,25.0,144.0,42.0,252.0,35.0,84.0,216.0,30.0,72.0,180.0,432.0,60.0,294.0,1764.0,245.0,588.0,252.0,1296.0,180.0,432.0,9072.0,7776.0,6480.0,15552.0,175.0,150.0,900.0,300.0,1008.0,864.0,5184.0,720.0
7,0.0,15.0,6.0,31.0,5.0,15.0,5250.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,225.0,36.0,961.0,25.0,225.0,90.0,465.0,75.0,225.0,186.0,30.0,90.0,155.0,465.0,75.0,1350.0,6975.0,1125.0,3375.0,540.0,1116.0,180.0,540.0,14415.0,5766.0,4805.0,14415.0,375.0,150.0,775.0,375.0,3375.0,1350.0,6975.0,1125.0
8,1.0,13.0,5.0,18.0,5.0,9.0,4285.714285714285,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,169.0,25.0,324.0,25.0,81.0,65.0,234.0,65.0,117.0,90.0,25.0,45.0,90.0,162.0,45.0,845.0,3042.0,845.0,1521.0,325.0,450.0,125.0,225.0,4212.0,1620.0,1620.0,2916.0,325.0,125.0,450.0,225.0,1053.0,405.0,1458.0,405.0
9,0.0,29.0,1.0,44.0,5.0,13.0,750.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,841.0,1.0,1936.0,25.0,169.0,29.0,1276.0,145.0,377.0,44.0,5.0,13.0,220.0,572.0,65.0,841.0,37004.0,4205.0,10933.0,29.0,44.0,5.0,13.0,56144.0,1936.0,9680.0,25168.0,725.0,25.0,1100.0,325.0,4901.0,169.0,7436.0,845.0
