,Личность подтверждена,Статус,Стаж,На сайте,Заказы в работе,Оценка,Количество отзывов,Формат обучения,Предмет,Цена,С отличием,Топ-10 вуз,Предмет ЕГЭ,Гуманитарная наука,Естественная наука,Техническая наука,Большой стаж
0,False,Частный преподаватель,7.0,6.0,107.0,5.0,51.0,Дистанционно,Русский язык,2112.5,False,1,1,1,0,0,0
1,True,Школьный преподаватель,38.0,6.0,139.0,4.89,41.0,Дистанционно,Русский язык,1000.0,False,0,1,1,0,0,1
2,True,Школьный преподаватель,12.0,5.0,84.0,5.0,36.0,Дистанционно,Русский язык,4187.5,False,0,1,1,0,0,0
3,True,Преподаватель университета или колледжа,22.0,5.0,43.0,5.0,29.0,Дистанционно,Русский язык,1650.0,False,0,1,1,0,0,0
4,True,Частный преподаватель,5.0,4.0,26.0,4.88,17.0,Дистанционно,Русский язык,3921.875,False,0,1,1,0,0,0
5,True,Школьный преподаватель,37.0,3.0,16.0,5.0,10.0,Дистанционно,Русский язык,3312.5,False,0,1,1,0,0,1
6,True,Частный преподаватель,7.0,6.0,36.0,5.0,12.0,Дистанционно,Русский язык,6000.0,False,1,1,1,0,0,0
7,False,Преподаватель университета или колледжа,15.0,6.0,31.0,5.0,15.0,У репетитора,Русский язык,5250.0,False,0,1,1,0,0,0
8,True,Частный преподаватель,13.0,5.0,18.0,5.0,9.0,Дистанционно,Русский язык,4285.714285714285,True,0,1,1,0,0,0
9,False,Школьный преподаватель,29.0,1.0,44.0,5.0,13.0,Дистанционно,Русский язык,750.0,False,0,1,1,0,0,1
10,True,Частный преподаватель,7.0,5.0,62.0,5.0,17.0,Дистанционно,Русский язык,5000.0,False,1,1,1,0,0,0
11,True,Аспирант или ординатор очной формы обучения,8.0,3.0,22.0,5.0,10.0,Дистанционно,Русский язык,3500.0,False,0,1,1,0,0,0
12,False,Школьный преподаватель,37.0,3.0,28.0,5.0,11.0,Дистанционно,Русский язык,2000.0,False,0,1,1,0,0,1
13,False,Студент,4.0,3.0,50.0,4.73,12.0,Дистанционно,Русский язык,800.0,False,0,1,1,0,0,0
14,False,Частный преподаватель,7.0,3.0,17.0,5.0,10.0,Дистанционно,Русский язык,1600.0,True,0,1,1,0,0,0
15,True,Частный преподаватель,14.0,3.0,28.0,5.0,7.0,Дистанционно,Русский язык,4025.0,False,0,1,1,0,0,0
16,True,Частный преподаватель,12.0,7.0,111.0,5.0,33.0,Дистанционно,Русский язык,4125.0,False,0,1,1,0,0,0
17,True,Частный преподаватель,8.0,2.0,32.0,5.0,8.0,Дистанционно,Русский язык,3271.875,False,0,1,1,0,0,0
18,False,Частный преподаватель,11.0,6.0,59.0,5.0,16.0,Дистанционно,Русский язык,2218.75,False,1,1,1,0,0,0
19,False,Частный преподаватель,32.0,5.0,16.0,5.0,6.0,У репетитора,Русский язык,3600.0,False,0,1,1,0,0,1
20,True,Студент,4.0,2.0,33.0,5.0,7.0,Дистанционно,Русский язык,1462.5,False,0,1,1,0,0,0
21,True,Аспирант или ординатор очной формы обучения,12.0,4.0,71.0,5.0,18.0,Дистанционно,Русский язык,3000.0,False,1,1,1,0,0,0
22,True,Школьный преподаватель,6.0,2.0,14.0,5.0,2.0,Дистанционно,Русский язык,1680.0,False,0,1,1,0,0,0
23,False,Частный преподаватель,7.0,1.0,20.0,5.0,5.0,Дистанционно,Русский язык,2366.6666666666665,False,0,1,1,0,0,0
24,True,Школьный преподаватель,8.0,1.0,17.0,5.0,4.0,Дистанционно,Русский язык,2683.333333333333,False,0,1,1,0,0,0
25,True,Частный преподаватель,9.0,3.0,16.0,5.0,5.0,Дистанционно,Русский язык,3000.0,False,0,1,1,0,0,0
26,True,Школьный преподаватель,30.0,0.8333333333333334,6.0,5.0,1.0,Дистанционно,Русский язык,3250.0,False,0,1,1,0,0,1
27,False,Школьный преподаватель,34.0,1.0,22.0,5.0,5.0,Дистанционно,Русский язык,1633.3333333333333,False,0,1,1,0,0,1
28,False,Преподаватель университета или колледжа,33.0,4.0,13.0,5.0,4.0,Дистанционно,Русский язык,4500.0,True,0,1,1,0,0,1
29,False,Школьный преподаватель,12.0,2.0,16.0,5.0,4.0,Дистанционно,Русский язык,1325.0,False,0,1,1,0,0,0
30,True,Школьный преподаватель,13.0,5.0,8.0,5.0,3.0,Дистанционно,Русский язык,3500.0,False,0,1,1,0,0,0
31,False,Частный преподаватель,10.0,1.0,9.0,5.0,2.0,У репетитора,Русский язык,3000.0,True,0,1,1,0,0,0
32,True,Школьный преподаватель,24.0,3.0,11.0,5.0,2.0,Дистанционно,Русский язык,2900.0,True,0,1,1,0,0,0
33,False,Школьный преподаватель,12.0,4.0,6.0,5.0,2.0,Дистанционно,Русский язык,2583.333333333333,True,0,1,1,0,0,0
34,False,Частный преподаватель,14.0,3.0,2.0,5.0,2.0,Дистанционно,Русский язык,2200.0,False,0,1,1,0,0,0
35,True,Студент,6.0,4.0,18.0,5.0,12.0,У репетитора,Русский язык,2700.0,False,1,1,1,0,0,0
36,False,Частный преподаватель,5.0,2.0,23.0,5.0,3.0,Дистанционно,Русский язык,2566.6666666666665,False,0,1,1,0,0,0
37,False,Школьный преподаватель,26.0,1.0,4.0,4.951735074626866,0.0,Дистанционно,Русский язык,2000.0,False,0,1,1,0,0,0
38,True,Преподаватель университета или колледжа,14.0,0.25,4.0,5.0,1.0,Дистанционно,Русский язык,800.0,False,0,1,1,0,0,0
39,False,Частный преподаватель,12.0,5.0,3.0,5.0,1.0,Дистанционно,Русский язык,2812.5,False,0,1,1,0,0,0
40,True,Частный преподаватель,11.0,5.0,129.0,4.93,28.0,Дистанционно,Русский язык,1781.25,False,0,1,1,0,0,0
41,False,Частный преподаватель,4.0,2.0,2.0,5.0,1.0,У репетитора,Русский язык,1000.0,False,0,1,1,0,0,0
